angle EW phase
-3.14 0.0373150700979545 0.4997465213085514
-2.36 0.03772749708585641 0.375605665696873
-1.57 0.035546003920026825 0.2498732606542757
-1.0 0.03134640338836312 0.15915494309189535
-0.95 0.03129050523818512 0.15119719593730058
-0.9 0.03150433679073246 0.1432394487827058
-0.85 0.032044968851234916 0.13528170162811104
-0.8 0.03215182756305004 0.12732395447351627
-0.75 0.032488097902629326 0.1193662073189215
-0.7 0.033127359844563796 0.11140846016432673
-0.65 0.033672796218280725 0.10345071300973198
-0.6 0.034364660466013025 0.0954929658551372
-0.55 0.0352642373845286 0.08753521870054244
-0.5 0.03645540576092755 0.07957747154594767
-0.45 0.03830116775227397 0.0716197243913529
-0.4 0.04110030189032242 0.06366197723675814
-0.35 0.04986212907671089 0.05570423008216337
-0.3 0.05405098130316807 0.0477464829275686
-0.25 0.06184242722794154 0.039788735772973836
-0.2 0.06212831101126285 0.03183098861837907
-0.15 0.06323122025955566 0.0238732414637843
-0.1 0.061629130582555765 0.015915494309189534
-0.05 0.0610741528307865 0.007957747154594767
0.0 0.06211347577306698 -0.0
0.05 0.05681408899874957 -0.007957747154594767
0.1 0.05645334237142228 -0.015915494309189534
0.15 0.05508710387021248 -0.0238732414637843
0.2 0.04931330493962059 -0.03183098861837907
0.25 0.049032211160604584 -0.039788735772973836
0.3 0.042962479024037804 -0.0477464829275686
0.35 0.039940284182573116 -0.05570423008216337
0.4 0.03281735965533736 -0.06366197723675814
0.45 0.03058741781985191 -0.0716197243913529
0.5 0.028431263269555824 -0.07957747154594767
0.55 0.02759314439239747 -0.08753521870054244
0.6 0.026960734355633103 -0.0954929658551372
0.65 0.026458573371797713 -0.10345071300973198
0.7 0.02643965048339861 -0.11140846016432673
0.75 0.026445827391196518 -0.1193662073189215
0.8 0.02649199147619234 -0.12732395447351627
0.85 0.027221804145110013 -0.13528170162811104
0.9 0.027681218744767307 -0.1432394487827058
0.95 0.02835067390462704 -0.15119719593730058
1.0 0.028835472009913456 -0.15915494309189535
1.57 0.03464489318908622 -0.2498732606542757
2.36 0.0360023221297962 -0.375605665696873
3.14 0.03731459388767569 -0.4997465213085514
