angle ABS phase
-1.0 0.003990273992246824 0.15915494309189535
-0.95 0.004009530043018306 0.15119719593730058
-0.9 0.004045380140569555 0.1432394487827058
-0.85 0.004124350944723221 0.13528170162811104
-0.8 0.004149949993749918 0.12732395447351627
-0.75 0.004208199220507882 0.1193662073189215
-0.7 0.004307076076154145 0.11140846016432673
-0.65 0.004393959416563705 0.10345071300973198
-0.6 0.004493578263127718 0.0954929658551372
-0.55 0.0046247754479728604 0.08753521870054244
-0.5 0.0047946374356253275 0.07957747154594767
-0.45 0.00505314622221384 0.0716197243913529
-0.4 0.00540634462058266 0.06366197723675814
-0.35 0.006200292681579826 0.05570423008216337
-0.3 0.006613945861239029 0.0477464829275686
-0.25 0.007312176404910711 0.039788735772973836
-0.2 0.007381403561987892 0.03183098861837907
-0.15 0.007584348170111437 0.0238732414637843
-0.1 0.007449167709206975 0.015915494309189534
-0.05 0.0074402887916277735 0.007957747154594767
0.0 0.0074402887916277735 -0.0
0.05 0.00708626621882739 -0.007957747154594767
0.1 0.007119002653456385 -0.015915494309189534
0.15 0.006993438308463753 -0.0238732414637843
0.2 0.006259642554458192 -0.03183098861837907
0.25 0.006191047591388621 -0.039788735772973836
0.3 0.005423777462184981 -0.0477464829275686
0.35 0.00496643033481772 -0.05570423008216337
0.4 0.004145799522507051 -0.06366197723675814
0.45 0.00384225181743856 -0.0716197243913529
0.5 0.0035675698965822785 -0.07957747154594767
0.55 0.0034569252995587533 -0.08753521870054244
0.6 0.0033757691360438223 -0.0954929658551372
0.65 0.0033081348465651087 -0.10345071300973198
0.7 0.00329281654615151 -0.11140846016432673
0.75 0.003309994775781184 -0.1193662073189215
0.8 0.0032995016066360155 -0.12732395447351627
0.85 0.0033858056252617243 -0.13528170162811104
0.9 0.0034186683629521333 -0.1432394487827058
0.95 0.0034991356540634293 -0.15119719593730058
1.0 0.0035360317244049677 -0.15915494309189535
