angle ABS phase
-3.14 0.02262037875677822 0.4997465213085514
-2.36 0.02155347962970439 0.375605665696873
-1.57 0.02110981873261498 0.2498732606542757
-1.0 0.020537075255812626 0.15915494309189535
-0.95 0.020931481932678637 0.15119719593730058
-0.9 0.02065451056658181 0.1432394487827058
-0.85 0.020792208288790567 0.13528170162811104
-0.8 0.020668975432201694 0.12732395447351627
-0.75 0.020819061486071138 0.1193662073189215
-0.7 0.021173457371625702 0.11140846016432673
-0.65 0.020987727806354283 0.10345071300973198
-0.6 0.021046281107516874 0.0954929658551372
-0.55 0.021265013144245677 0.08753521870054244
-0.5 0.021431467891186377 0.07957747154594767
-0.45 0.021859262692412864 0.0716197243913529
-0.4 0.02242623072824072 0.06366197723675814
-0.35 0.02416338246225401 0.05570423008216337
-0.3 0.02520006428202474 0.0477464829275686
-0.25 0.027043833812633863 0.039788735772973836
-0.2 0.02726560379240883 0.03183098861837907
-0.15 0.027297901562697277 0.0238732414637843
-0.1 0.027064860555096333 0.015915494309189534
-0.05 0.02637760176896814 0.007957747154594767
0.0 0.02637760176896814 -0.0
0.05 0.025513351249423822 -0.007957747154594767
0.1 0.026011020249566537 -0.015915494309189534
0.15 0.025252253831154096 -0.0238732414637843
0.2 0.023708849427306958 -0.03183098861837907
0.25 0.0223549993337947 -0.039788735772973836
0.3 0.020237795191151382 -0.0477464829275686
0.35 0.019151553446382044 -0.05570423008216337
0.4 0.017463629711143295 -0.06366197723675814
0.45 0.01665988661119893 -0.0716197243913529
0.5 0.016295811456562337 -0.07957747154594767
0.55 0.016512789765283958 -0.08753521870054244
0.6 0.01663019598104675 -0.0954929658551372
0.65 0.016683073837178375 -0.10345071300973198
0.7 0.017131280873291972 -0.11140846016432673
0.75 0.017305638025964583 -0.1193662073189215
0.8 0.01752184973622159 -0.12732395447351627
0.85 0.018066872345910912 -0.13528170162811104
0.9 0.01763538832163607 -0.1432394487827058
0.95 0.017764970834113807 -0.15119719593730058
1.0 0.018122637238779684 -0.15915494309189535
1.57 0.019286660910985652 -0.2498732606542757
2.36 0.020722439528444433 -0.375605665696873
3.14 0.022619854327247012 -0.4997465213085514
