angle EW phase
-1.0 0.16804236131102784 0.15915494309189535
-0.95 0.16978264957304734 0.15119719593730058
-0.9 0.167862866056031 0.1432394487827058
-0.85 0.16884459717327122 0.13528170162811104
-0.8 0.16754018640487556 0.12732395447351627
-0.75 0.16850165958186308 0.1193662073189215
-0.7 0.17113551918938416 0.11140846016432673
-0.65 0.16919480502668305 0.10345071300973198
-0.6 0.16987653158804647 0.0954929658551372
-0.55 0.17146335564441925 0.08753521870054244
-0.5 0.17250607474597268 0.07957747154594767
-0.45 0.17555352537540542 0.0716197243913529
-0.4 0.18002688040443415 0.06366197723675814
-0.35 0.19692478193704277 0.05570423008216337
-0.3 0.20557336320432051 0.0477464829275686
-0.25 0.22553482119974694 0.039788735772973836
-0.2 0.2279298705034739 0.03183098861837907
-0.15 0.22787473374931125 0.0238732414637843
-0.1 0.2265194794970625 0.015915494309189534
-0.05 0.22191440291073153 0.007957747154594767
0.0 0.22972651037517988 -0.0
0.05 0.2151587894812777 -0.007957747154594767
0.1 0.2186030352365624 -0.015915494309189534
0.15 0.21345121868932318 -0.0238732414637843
0.2 0.20178416094230092 -0.03183098861837907
0.25 0.19146854267742172 -0.039788735772973836
0.3 0.17467065476654584 -0.0477464829275686
0.35 0.16835579189555805 -0.05570423008216337
0.4 0.15299985112598982 -0.06366197723675814
0.45 0.14515110481545238 -0.0716197243913529
0.5 0.14119105540656193 -0.07957747154594767
0.55 0.1412295406351013 -0.08753521870054244
0.6 0.14053520340994 -0.0954929658551372
0.65 0.13959187116046878 -0.10345071300973198
0.7 0.14293206565909003 -0.11140846016432673
0.75 0.1434540628979796 -0.1193662073189215
0.8 0.1455255295718213 -0.12732395447351627
0.85 0.1510888214675276 -0.13528170162811104
0.9 0.14762576534452135 -0.1432394487827058
0.95 0.1489215608032508 -0.15119719593730058
1.0 0.1538003684697464 -0.15915494309189535
