Wavelength (nm),Averaged
1084.054,0.024502162
1084.05,0.024941813
1084.046,0.025334733
1084.042,0.025977142
1084.038,0.02661465
1084.034,0.027131425
1084.03,0.027623442
1084.026,0.028424141
1084.022,0.029047222
1084.018,0.029642959
1084.014,0.030395527
1084.01,0.030990775
1084.006,0.03162207
1084.002,0.03226117
1083.998,0.032937352
1083.994,0.03366234
1083.99,0.034189987
1083.986,0.034788329
1083.982,0.0355207
1083.978,0.036300741
1083.974,0.037024019
1083.97,0.037733283
1083.966,0.038358182
1083.962,0.039351916
1083.958,0.040237135
1083.954,0.041306075
1083.95,0.042158876
1083.946,0.043226683
1083.942,0.04424956
1083.938,0.045399658
1083.934,0.046638198
1083.93,0.04745071
1083.926,0.048608645
1083.922,0.049729714
1083.918,0.050640201
1083.914,0.051808757
1083.91,0.052612014
1083.906,0.053895951
1083.902,0.055183457
1083.898,0.056236863
1083.894,0.05750091
1083.89,0.05910841
1083.886,0.060434446
1083.882,0.062017945
1083.878,0.063301187
1083.874,0.06541718
1083.87,0.067090688
1083.866,0.068682239
1083.862,0.070692871
1083.858,0.072236049
1083.854,0.07408669
1083.85,0.076261637
1083.846,0.07800227
1083.842,0.080154087
1083.838,0.081454449
1083.834,0.083331402
1083.83,0.085226989
1083.826,0.087458206
1083.822,0.089868816
1083.818,0.091331083
1083.814,0.093796237
1083.81,0.096505722
1083.806,0.099020733
1083.802,0.10226676
1083.798,0.10419818
1083.794,0.1074489
1083.79,0.11044939
1083.786,0.11352908
1083.782,0.11681627
1083.778,0.11934835
1083.774,0.12300241
1083.77,0.12619012
1083.766,0.12975032
1083.762,0.13390703
1083.758,0.13652436
1083.754,0.13981099
1083.75,0.14387527
1083.746,0.14770203
1083.742,0.1515144
1083.738,0.15580221
1083.734,0.15927093
1083.73,0.1632028
1083.726,0.16881569
1083.722,0.17357406
1083.718,0.17809088
1083.714,0.18345372
1083.71,0.1891015
1083.706,0.19465615
1083.702,0.20061616
1083.698,0.20601069
1083.694,0.2115678
1083.69,0.21841315
1083.686,0.22316719
1083.682,0.22888557
1083.678,0.2346398
1083.674,0.24046153
1083.67,0.24775934
1083.666,0.25292928
1083.662,0.26013549
1083.658,0.26690704
1083.654,0.27317681
1083.65,0.28310472
1083.646,0.29009686
1083.642,0.29821399
1083.638,0.3066933
1083.634,0.31564736
1083.63,0.32476633
1083.626,0.33359994
1083.622,0.34239897
1083.618,0.35258411
1083.614,0.36432773
1083.61,0.3732648
1083.606,0.38188224
1083.602,0.39173143
1083.598,0.40169552
1083.594,0.41127737
1083.59,0.4212757
1083.586,0.43169009
1083.582,0.44126271
1083.578,0.45006345
1083.574,0.46099617
1083.57,0.474496
1083.566,0.48333964
1083.562,0.49451968
1083.558,0.50742473
1083.554,0.51896302
1083.55,0.53430285
1083.546,0.5450853
1083.542,0.55778539
1083.538,0.57101805
1083.534,0.58575093
1083.53,0.5966381
1083.526,0.60649014
1083.522,0.6154205
1083.518,0.62485331
1083.514,0.63485863
1083.51,0.64824033
1083.506,0.65534712
1083.502,0.66561236
1083.498,0.6779949
1083.494,0.68833618
1083.49,0.6987738
1083.486,0.71097507
1083.482,0.7244634
1083.478,0.73780689
1083.474,0.74948269
1083.47,0.76130957
1083.466,0.76891809
1083.462,0.78156638
1083.458,0.79319895
1083.454,0.80162291
1083.45,0.80593276
1083.446,0.81469804
1083.442,0.82181987
1083.438,0.82888795
1083.434,0.83419795
1083.43,0.8428036
1083.426,0.85166491
1083.422,0.85575968
1083.418,0.85984675
1083.414,0.86347628
1083.41,0.87067603
1083.406,0.8797094
1083.402,0.8850707
1083.398,0.89050517
1083.394,0.89693252
1083.39,0.8997731
1083.386,0.90279601
1083.382,0.90942758
1083.378,0.91110778
1083.374,0.91255013
1083.37,0.91671694
1083.366,0.91708861
1083.362,0.92055278
1083.358,0.92112814
1083.354,0.9238325
1083.35,0.92785684
1083.346,0.92650574
1083.342,0.9274607
1083.338,0.92884198
1083.334,0.93068359
1083.33,0.93406624
1083.326,0.93733879
1083.322,0.94051761
1083.318,0.94005623
1083.314,0.94249951
1083.31,0.94091509
1083.306,0.9398644
1083.302,0.94180811
1083.298,0.94329488
1083.294,0.9389012
1083.29,0.93870537
1083.286,0.93776722
1083.282,0.93776445
1083.278,0.9345754
1083.274,0.93482103
1083.27,0.9385291
1083.266,0.93689084
1083.262,0.94016186
1083.258,0.9389084
1083.254,0.93951934
1083.25,0.93785999
1083.246,0.93596147
1083.242,0.93820967
1083.238,0.9332381
1083.234,0.92876139
1083.23,0.92598641
1083.226,0.92612572
1083.222,0.92623598
1083.218,0.92610907
1083.214,0.92749627
1083.21,0.92463349
1083.206,0.92689381
1083.202,0.92501944
1083.198,0.92194558
1083.194,0.92669241
1083.19,0.92439564
1083.186,0.92130025
1083.182,0.92255628
1083.178,0.92184401
1083.174,0.91971846
1083.17,0.91987871
1083.166,0.9143522
1083.162,0.91258834
1083.158,0.90585379
1083.154,0.89875888
1083.15,0.89555967
1083.146,0.89389641
1083.142,0.89268645
1083.138,0.88817079
1083.134,0.8833362
1083.13,0.87862257
1083.126,0.87501345
1083.122,0.869223
1083.118,0.87000584
1083.114,0.86280395
1083.11,0.86405665
1083.106,0.86064779
1083.102,0.85492777
1083.098,0.85063436
1083.094,0.84667176
1083.09,0.84045921
1083.086,0.83268037
1083.082,0.82426011
1083.078,0.81858591
1083.074,0.8093321
1083.07,0.799742
1083.066,0.79007736
1083.062,0.78127156
1083.058,0.77387497
1083.054,0.76492288
1083.05,0.75475191
1083.046,0.74784516
1083.042,0.73902682
1083.038,0.73512198
1083.034,0.72716566
1083.03,0.72067679
1083.026,0.71383552
1083.022,0.70231365
1083.018,0.69244299
1083.014,0.68111438
1083.01,0.67048237
1083.006,0.66169715
1083.002,0.64898231
1082.998,0.63831064
1082.994,0.62388432
1082.99,0.60954294
1082.986,0.60027026
1082.982,0.58979802
1082.978,0.575217
1082.974,0.56615475
1082.97,0.55410401
1082.966,0.54312634
1082.962,0.5325621
1082.958,0.52198236
1082.954,0.5147018
1082.95,0.50536882
1082.946,0.49478408
1082.942,0.48684008
1082.938,0.47649277
1082.934,0.4684706
1082.93,0.45985781
1082.926,0.44854813
1082.922,0.43662332
1082.918,0.42491792
1082.914,0.41384137
1082.91,0.402359
1082.906,0.39059303
1082.902,0.38076
1082.898,0.37049526
1082.894,0.36061804
1082.89,0.350618
1082.886,0.33916461
1082.882,0.33345092
1082.878,0.32595098
1082.874,0.31905768
1082.87,0.31238691
1082.866,0.3042198
1082.862,0.29889722
1082.858,0.29202022
1082.854,0.28503282
1082.85,0.2781333
1082.846,0.26884509
1082.842,0.263968
1082.838,0.254899
1082.834,0.24507054
1082.83,0.23892614
1082.826,0.23141921
1082.822,0.22307268
1082.818,0.21779235
1082.814,0.21059066
1082.81,0.20566434
1082.806,0.2003298
1082.802,0.1953374
1082.798,0.19019863
1082.794,0.18599336
1082.79,0.18257766
1082.786,0.17802389
1082.782,0.17453321
1082.778,0.17001423
1082.774,0.16575459
1082.77,0.1618676
1082.766,0.15783237
1082.762,0.15206238
1082.758,0.14797669
1082.754,0.14340946
1082.75,0.13962757
1082.746,0.13461048
1082.742,0.12975552
1082.738,0.12631688
1082.734,0.1223734
1082.73,0.11941972
1082.726,0.11633815
1082.722,0.11297347
1082.718,0.11117471
1082.714,0.1091783
1082.71,0.10663413
1082.706,0.10464321
1082.702,0.10292576
1082.698,0.10042917
1082.694,0.09783116
1082.69,0.095209413
1082.686,0.092432504
1082.682,0.089784612
1082.678,0.086767435
1082.674,0.0845575
1082.67,0.0818436
1082.666,0.07972799
1082.662,0.077344974
1082.658,0.075305621
1082.654,0.073208956
1082.65,0.071290798
1082.646,0.069889601
1082.642,0.068508244
1082.638,0.067222031
1082.634,0.066073023
1082.63,0.064874202
1082.626,0.063705367
1082.622,0.062465749
1082.618,0.06105588
1082.614,0.059882123
1082.61,0.058242934
1082.606,0.056715572
1082.602,0.054924958
1082.598,0.053275874
1082.594,0.051979202
1082.59,0.050632732
1082.586,0.049391403
1082.582,0.0479512
1082.578,0.04661364
1082.574,0.045706375
1082.57,0.044602419
1082.566,0.043472312
1082.562,0.04316847
1082.558,0.042354247
1082.554,0.041623444
1082.55,0.040838361
1082.546,0.040023356
1082.542,0.03959732
1082.538,0.038782765
1082.534,0.037750646
1082.53,0.03698756
1082.526,0.035991866
1082.522,0.035269588
1082.518,0.034323539
1082.514,0.033485518
1082.51,0.032450279
1082.506,0.031614284
1082.502,0.030907348
1082.498,0.030196666
1082.494,0.02947062
1082.49,0.02917912
1082.486,0.028713363
1082.482,0.028326594
1082.478,0.02791899
1082.474,0.027476766
1082.47,0.026977757
1082.466,0.026571125
1082.462,0.026173138
1082.458,0.025585075
1082.454,0.024963342
1082.45,0.024586742
1082.446,0.02387836
1082.442,0.023329623
1082.438,0.02289723
1082.434,0.022294758
1082.43,0.021761715
1082.426,0.021260529
1082.422,0.020716468
1082.418,0.0203561
1082.414,0.020030693
1082.41,0.019649914
1082.406,0.019349815
1082.402,0.019104698
1082.398,0.018916213
1082.394,0.018661993
1082.39,0.018409546
1082.386,0.018211559
1082.382,0.01784765
1082.378,0.017587709
1082.374,0.017233973
1082.37,0.016800256
1082.366,0.016453787
1082.362,0.016069201
1082.358,0.01565838
1082.354,0.015364345
1082.35,0.014979115
1082.346,0.014661002
1082.342,0.014406451
1082.338,0.014151493
1082.334,0.013881279
1082.33,0.013651636
1082.326,0.013528146
1082.322,0.013369106
1082.318,0.01323493
1082.314,0.013070175
1082.31,0.012905511
1082.306,0.012747818
1082.302,0.012602657
1082.298,0.012352996
1082.294,0.012162977
1082.29,0.011912014
1082.286,0.01165063
1082.282,0.011378325
1082.278,0.011109145
1082.274,0.010909418
1082.27,0.01071819
1082.266,0.010450812
1082.262,0.010302674
1082.258,0.010098206
1082.254,0.009975236
1082.25,0.00989093
1082.246,0.009741492
1082.242,0.009657973
1082.238,0.009570859
1082.234,0.009457811
1082.23,0.009338614
1082.226,0.009237695
1082.222,0.009178407
1082.218,0.009020398
1082.214,0.008817203
1082.21,0.00869619
1082.206,0.008489479
1082.202,0.00835273
1082.198,0.00817025
1082.194,0.008015156
1082.19,0.007867437
1082.186,0.007726689
1082.182,0.007594008
1082.178,0.00743932
1082.174,0.00736208
1082.17,0.007298343
1082.166,0.007201827
1082.162,0.007147878
1082.158,0.00708384
1082.154,0.006986832
1082.15,0.006948752
1082.146,0.006888796
1082.142,0.006796981
1082.138,0.006719223
1082.134,0.006629733
1082.13,0.006501352
1082.126,0.006348584
1082.122,0.006247571
1082.118,0.006137866
1082.114,0.006011678
1082.11,0.005872312
1082.106,0.00579665
1082.102,0.005691156
1082.098,0.005609971
1082.094,0.005540817
1082.09,0.005471405
1082.086,0.005450354
1082.082,0.005382207
1082.078,0.005358803
1082.074,0.005328366
1082.07,0.00527907
1082.066,0.005226732
1082.062,0.00516709
1082.058,0.005066115
1082.054,0.005011389
1082.05,0.00492726
1082.046,0.004846222
1082.042,0.004760286
1082.038,0.004649046
1082.034,0.004624377
1082.03,0.004509236
1082.026,0.004419128
1082.022,0.004351553
1082.018,0.004304602
1082.014,0.004228185
1082.01,0.00419635
1082.006,0.004157285
1082.002,0.004115906
1081.998,0.004111897
1081.994,0.00408014
1081.99,0.004074356
1081.986,0.004023526
1081.982,0.00399333
1081.978,0.003931703
1081.974,0.003872557
1081.97,0.00383299
1081.966,0.003736887
1081.962,0.003667807
1081.958,0.00361352
1081.954,0.003531485
1081.95,0.00349665
